serial,latitude,longitude,height,type
-1408235023,53.3007,12.6174,5.0,dump1090
-1408236586,52.3794,4.5471,3.0,dump1090
-1408235145,50.58647,5.61924,185.0,dump1090
-1408236093,54.80403,11.872565,10.0,dump1090
-1408236060,51.5358,7.6138,65.0,dump1090
-1408236352,51.8297,4.7637,10.0,dump1090
-1408235231,50.0974,8.2655,230.0,dump1090
-1408234547,52.09527,4.9985,8.0,dump1090
-1408235580,52.3827,5.2584,4.0,dump1090
-1408236394,50.77492,3.94975,100.0,dump1090
-1408236377,49.127,8.5192,125.0,dump1090
-1408234967,51.0075,6.5494,65.0,dump1090
-1408235779,52.5772,8.1373,51.0,dump1090
-1408236338,52.34627,4.6779,12.0,dump1090
-1408236264,52.38154,9.98306,72.0,dump1090
-1408235194,50.9069,4.29834,51.0,dump1090
-1408234674,51.2962,7.0846,250.0,dump1090
-1408235907,51.558435,6.7351,40.0,dump1090
-1408236390,51.327767,3.485682,10.0,dump1090
-1408237098,51.9899,4.3754,30.0,dump1090
2106258787,51.83308410644531,4.14280366897583,-2.034991979598999,Radarcape
-1408236123,52.1624,4.5331,15.0,dump1090
-1408235928,53.2458,10.4425,50.0,dump1090
-1408234667,52.3978,12.5424,40.0,dump1090
1433788987,51.83308792114258,4.14274263381958,6.676554203033447,Radarcape
-1408237369,52.592428,7.286886,43.81,dump1090
1401767558,51.8331298828125,4.142801284790039,-4.539999961853027,Radarcape
-1408237453,52.235266,10.506663,85.0,dump1090
-1408237245,51.2438,6.5479,46.0,dump1090
1408237502,51.0075,6.5494,65.0,dump1090
-1408236263,51.17,6.2838,77.0,dump1090
-1408236669,52.1114,11.6383,57.0,dump1090
-1408234842,51.4507,6.6135,25.0,dump1090
91023,50.9196,6.2045,20.0,dump1090
-1408236948,51.6693,7.7867,256.0,dump1090
90813,52.12904,5.0189,13.0,dump1090
-1408234751,53.6281,9.842,13.0,dump1090
-1408237031,53.7635,9.6376,15.0,dump1090
-1408236987,53.2152,6.5709,20.0,dump1090
-1408236536,52.30227,4.8577,45.0,dump1090
-1408237567,52.532751,7.309251,32.0,dump1090
-1408234700,50.9313,6.86,13.0,dump1090
-1408235501,55.6735184,13.1370909,24.0,dump1090
954785008,50.9215087890625,6.953347682952881,55.5764274597168,Radarcape
1517795776,51.99193572998047,6.914833068847656,45.5462760925293,Radarcape
1517933455,51.341670989990234,5.893155574798584,40.67951583862305,Radarcape
956189714,51.59001922607422,4.800710678100586,1.2592836618423462,Radarcape
-1408236963,52.4356,13.5866,55.0,dump1090
1515785882,51.28514862060547,6.82944917678833,20.68807601928711,Radarcape
1431722486,51.59001922607422,4.800797462463379,3.0917136669158936,Radarcape
1922535493,50.937178,7.353722,0.0,Radarcape
955906058,50.83799743652344,4.856447219848633,52.868011474609375,Radarcape
1149721653,51.630287170410156,4.948856353759766,18.871999740600586,Radarcape
970505392,49.7029054,6.6933892,415.05,GRX1090
2037618632,51.58999252319336,4.800631523132324,7.997000217437744,Radarcape
-1408235303,51.4414,5.5226,30.0,dump1090
-1408237498,52.436032,13.361454,10.0,dump1090
-1408235327,52.2125,12.98,120.0,dump1090
701887538,51.486576080322266,7.59774112701416,146.59970092773438,Radarcape
-1408235906,51.558435,6.735126,40.0,dump1090
1614935208,52.0336,5.5645,27.0,Radarcape
-1408237208,51.22847,6.679641,46.0,dump1090
1517780356,55.6733512878418,12.446784019470215,17.23673439025879,Radarcape
-1408235159,54.1007,13.0356,14.0,dump1090
-1408237018,53.765532,9.680174,20.0,dump1090
-1408235163,51.1057,6.8191,28.0,dump1090
970509706,50.2060011,6.9784485,450.355,GRX1090
970520480,50.0485295,8.4879547,92.977,GRX1090
821472946,50.125396728515625,8.645694732666016,127.6346206665039,Radarcape
970520524,49.4248708,7.7565117,281.29,GRX1090
1673211360,50.338199615478516,4.963064670562744,276.349365234375,Radarcape
1917181722,49.836814880371094,8.90845775604248,221.2015838623047,Radarcape
2098032836,52.56928634643555,13.081747055053711,44.61407470703125,Radarcape
-1408234749,52.152359,4.6674,6.0,dump1090
309376198,50.821346282958984,6.235667705535889,196.91954040527344,Radarcape
-1408235027,51.6024,5.3225,8.0,dump1090
-1408235887,51.8947,8.84088,80.0,dump1090
-1408236270,52.40169,13.54265,35.0,dump1090
-1408234543,50.9061,6.9713,250.0,dump1090
-1408235677,52.41002,13.672615,35.0,dump1090
-1408235544,51.357679,7.247718,211.0,dump1090
90741,52.2108,4.4042,39.0,dump1090
90689,52.6549,4.813,4.8768,dump1090
-1408237460,49.9943,8.6604,136.0,dump1090
-1408237166,53.306334,9.987466,22.0,dump1090
-1408234554,50.83628266,6.07198209,169.0,dump1090
-1408235945,51.24417,6.95681,475.722,dump1090
-1408236550,52.1608,4.5241,7.0,dump1090
-1408235515,52.6647,5.215,30.0,dump1090
970504522,51.4438636,7.016798,96.222,GRX1090
-1408235559,51.461705,6.813569,169.0,dump1090
90952,51.365207,9.43089,215.0,dump1090
333333392,49.569286,6.064015,343.0,dump1090
-1408234821,50.904404,4.508195,93.874,dump1090
333333990,49.569286,6.064015,343.0,dump1090
-1408236446,50.3776,8.89724,427.0,dump1090
90251,50.12548873634739,8.697875440120697,404.0,dump1090
1408237117,50.8516,4.3993,90.0,dump1090
852742020,49.54356384277344,11.026911735534668,319.5671691894531,Radarcape
954776276,50.039119720458984,8.3891019821167,126.69795227050781,Radarcape
970510088,49.2875722,7.6039815,410.652,GRX1090
-1408234758,52.20917,6.91532,115.0,dump1090
-1408234518,52.043823,4.646932,-4.0,dump1090
-1408237427,50.812,6.3734,150.0,dump1090
956143420,51.24281311035156,6.684990882873535,43.901065826416016,Radarcape
-1408237431,52.284961,8.025576,89.0,dump1090
1152932234,51.40650177001953,6.938628196716309,136.5760040283203,Radarcape
